afr-deu	Afrikaans	German	1583	7816	7355	1	13	10	5404300	71314303	67186386	
afr-nld	Afrikaans	Dutch	1056	5695	5572				4086174	57136438	56607131	
afr-rus	Afrikaans	Russian	228	1134	938				1652781	27322838	22092227	
afr-spa	Afrikaans	Spanish	448	2549	2282				2000987	31611079	32380284	
ara-epo	Arabic	Esperanto	753	3078	3820	94	406	509	1234097	12861799	14264895	
aze-eng	Azerbaijani	English	2659	10046	13295	1012	3847	5131	3233365	31272775	39736829	
aze-tur	Azerbaijani	Turkish	1150	4253	4195	15	72	73	2598020	25973235	24677345	
bel-deu	Belarusian	German	551	2842	3429	1	3	3	1322056	22601878	15927683	
bel-eng	Belarusian	English	2500	12908	15535	4265	22158	26573	3641197	59847996	41011262	
bel-pol	Belarusian	Polish	287	1375	1357				2948821	34081199	37145835	
bel-rus	Belarusian	Russian	2500	15122	15162	2754	16813	16869	4782456	60246390	65643555	
bel-ukr	Belarusian	Ukrainian	2355	12053	12024	1021	5044	5039	1816968	19675300	19770617	
bre-eng	Breton	English	383	1864	1644				1020160	10130793	7226151	
bul-epo	Bulgarian	Esperanto	570	3233	3324	1	8	6	1450480	15176976	15217385	
bul-jpn	Bulgarian	Japanese	321	1952	324	2	10	2	8114217	81560017	15334021	
cat-deu	Catalan	German	723	4674	4713	2	9	10	2266984	30765140	27118309	
cat-epo	Catalan	Esperanto	772	4870	4648	7	46	41	1217119	13543115	12207828	
cat-nld	Catalan	Dutch	578	3280	3488	2	9	10	2036970	25250776	23463677	
cat-ukr	Catalan	Ukrainian	456	2149	1884				2241110	26978899	21924803	
ceb-deu	Cebuano	German	903	5324	6145				1278923	19370746	17836464	
ceb-eng	Cebuano	English	378	1678	1873				1279479	19784057	18521119	
ces-epo	Czech	Esperanto	3471	17560	20418	1058	5202	6088	2124218	18568224	20639766	
ces-ukr	Czech	Ukrainian	1787	6527	6842	1114	4187	4414	7651457	84995790	83634672	
cym-eng	Welsh	English	818	5073	4618	19	122	115	2343465	18787525	18184731	
dan-dan	Danish	Danish	212	1367	1386				4700694	26780442	26779838	
dan-epo	Danish	Esperanto	11069	66844	63473	19236	117228	111170	1597423	15444665	15262813	
dan-jpn	Danish	Japanese	904	4870	909	10	62	10	8199889	97192205	15847249	
deu-deu	German	German	2500	17212	17358	2115	14324	14560	4574760	27145368	27101195	
deu-epo	German	Esperanto	13439	111705	104869	221681	1735735	1622605	5266759	55673452	54422182	
deu-eus	German	Basque	456	2742	2290				1027193	6198633	5104272	
deu-isl	German	Icelandic	969	5110	4879	19	159	136	7534706	82794649	81510210	
deu-tgl	German	Tagalog	326	2041	1965				3265457	41424687	47753588	
ell-epo	Modern Greek (1453-)	Esperanto	604	3256	3139	5	26	26	1610179	17443498	16384612	
eng-gle	English	Irish	1913	9141	10094	27	155	166	4076822	58408962	74424700	
eng-hye	English	Armenian	1121	3888	3852	1000	3556	3535	1393027	22833420	19893688	
eng-ilo	English	Iloko	1093	6184	6040	1000	5647	5433	1259734	18818179	20393963	
eng-jav	English	Javanese	262	1539	1342	2	20	17	1993438	12480530	7764181	
eng-kat	English	Georgian	984	4899	3360	18	98	70	2026943	31045858	24342185	
eng-kaz	English	Kazakh	403	2207	1691	3	13	10	1060530	11716227	9422235	
eng-lat	English	Latin	10298	83536	60635	14036	114476	83208	1103779	8494917	7055312	
eng-ltz	English	Luxembourgish	293	1453	1431	4	15	14	9546015	146556603	321744553	
eng-mal	English	Malayalam	802	4700	3459				9071279	88793035	58463957	
eng-mar	English	Marathi	10396	55965	49675	43058	230342	204540	4475328	40471450	36638428	
eng-mlt	English	Maltese	203	935	673	1	6	3	8482666	156751263	139264703	
eng-oci	English	Occitan (post 1500)	841	4376	4498				1532613	9793290	9705502	
eng-swa	English	Swahili (macrolanguage)	387	2001	1363	3	17	21	9366710	113738632	104332681	
eng-tam	English	Tamil	311	1787	1364				9461564	107211150	75429747	
eng-tel	English	Telugu	261	1401	1085				1089331	16413310	12802403	
eng-tgl	English	Tagalog	2500	15302	14955	4796	29378	28759	8656962	83077012	91906703	
eng-urd	English	Urdu	1663	10180	12106	1	6	5	8949903	112674724	136874205	
epo-fas	Esperanto	Persian	2514	15362	17901	7430	45396	52342	1137027	10470867	12065319	
epo-fin	Esperanto	Finnish	2862	15296	12426	1047	5598	4530	1534419	13665110	10835060	
epo-fra	Esperanto	French	12168	78068	90747	287548	1834039	2127992	5959738	64071206	71132570	
epo-hbs	Esperanto	Serbo-Croatian	2500	15216	14876	2802	16899	16561	2612660	22512504	21056325	
epo-heb	Esperanto	Hebrew	10368	66740	55509	19607	126955	105465	1255873	10177414	8381825	
epo-hun	Esperanto	Hungarian	10094	63986	53006	28756	181892	151662	1613081	14694874	12923451	
epo-ita	Esperanto	Italian	10303	57334	57390	40619	221800	222099	3027527	33504756	34906772	
epo-lit	Esperanto	Lithuanian	11511	66058	56849	10429	58107	50279	1093148	9570521	8012938	
epo-nld	Esperanto	Dutch	12841	75725	85225	80837	478383	540109	2619413	25109511	26862719	
epo-nor	Esperanto	Norwegian	3158	24404	25138	1011	7890	8037	1594667	15029894	15090752	
epo-ron	Esperanto	Romanian	3820	20944	21166	1319	7293	7316	1757517	16836216	18519463	
epo-slv	Esperanto	Slovenian	302	1800	1598	1	4	3	1280982	13431308	12667081	
epo-spa	Esperanto	Spanish	10735	68332	70472	65096	414554	430104	6339446	76896890	84015828	
