afr-epo	Afrikaans	Esperanto	1116	7134	6129	1	5	3	231397	1641694	1485871	
aze-spa	Azerbaijani	Spanish	210	684	923	1	5	7	826372	7582451	9791012	
bel-epo	Belarusian	Esperanto	735	3962	4483	15	58	69	226049	1074611	1173506	
bel-fra	Belarusian	French	283	1356	1743				691661	8524540	10581715	
bel-ita	Belarusian	Italian	264	1187	1375				985660	15443195	13142491	
bel-nld	Belarusian	Dutch	606	3194	4032				846296	12442435	11234441	
bel-spa	Belarusian	Spanish	205	982	1136				825477	8878533	10996772	
bel-zho	Belarusian	Chinese	325	1480	329				390990	2515518	989527	
bre-fra	Breton	French	2494	11924	11290	3060	15204	14281	266235	1984951	1974128	
deu-kur	German	Kurdish	237	1138	1058	12	57	58	154476	1695463	2070921	
deu-ltz	German	Luxembourgish	347	1765	1762	4	21	21	584394	6452022	10846641	
deu-nds	German	Low German	9999	62145	63862	7843	49335	50807	187895	1444784	1510915	
deu-run	German	Rundi	1752	8475	5109	1191	6280	3866	360957	5761395	5241168	
deu-tat	German	Tatar	2501	21692	17487	3465	29832	24000	293645	4449626	3572156	
eng-fry	English	Western Frisian	220	1291	1322	2	6	6	778751	4945655	5303398	
eng-gla	English	Scottish Gaelic	955	5337	6121				220810	1511440	1147334	
eng-khm	English	Khmer	726	3425	1566				815971	11578309	4334302	
eng-kur	English	Kurdish	442	2204	2114	80	427	393	401123	4611005	5204156	
eng-mon	English	Mongolian	415	2802	2437	23	194	157	793158	8836860	7478058	
eng-mri	English	Maori	366	2330	3317	3	10	12	245863	3469726	4285998	
eng-mya	English	Burmese	216	1427	1196				813066	16475133	7070479	
eng-nds	English	Low German	2500	14803	15228	3221	19245	19792	602234	2697514	2612504	
eng-que	English	Quechua	257	1379	761				157573	2559248	1587081	
eng-run	English	Rundi	1703	8221	4930	3	29	17	380555	5921529	5293815	
eng-tat	English	Tatar	1451	9447	6996	4	34	22	420560	6502888	5395745	
eng-tuk	English	Turkmen	2500	16260	12809	3866	25388	20021	182856	2106166	1547579	
eng-uig	English	Uighur	3024	19231	13084	1006	6349	4367	142957	2666557	2398811	
eng-uzb	English	Uzbek	458	2189	1518	1	4	3	391959	3600543	3119091	
eng-war	English	Waray (Philippines)	1512	9630	9364	1	6	5	264715	4269097	4807544	
eng-yid	English	Yiddish	2483	12632	13594	1892	9827	10546	257688	1420651	1641930	
epo-glg	Esperanto	Galician	329	1889	1892	5	31	38	386679	1760459	1999817	
epo-isl	Esperanto	Icelandic	233	1248	1301				277717	1495241	1435518	
epo-jpn	Esperanto	Japanese	3477	20955	3481	6412	38317	6436	387212	1695483	736034	
epo-nds	Esperanto	Low German	2536	14209	15218	1181	6749	7183	138394	460611	492113	
epo-pol	Esperanto	Polish	2513	14258	12388	5786	32947	28629	527328	3181693	2900262	
epo-por	Esperanto	Portuguese	10809	79331	83066	46093	329403	345038	670272	4343026	4778138	
epo-rus	Esperanto	Russian	11674	73715	66328	45960	291530	260943	486133	2986290	2749515	
epo-tgl	Esperanto	Tagalog	1109	7114	7513	12	98	120	176797	1230363	1413846	
epo-tur	Esperanto	Turkish	5000	27672	21298	7650	42285	32526	437421	2448446	2010494	
epo-vie	Esperanto	Vietnamese	1790	11394	15774	2	11	15	175600	2566800	3450750	
epo-zho	Esperanto	Chinese	2241	12844	2284	1014	5834	1049	463013	2306220	1565507	
eus-jpn	Basque	Japanese	237	786	237				422159	1873510	765574	
