afr-deu	Afrikaans	German	1583	7816	7355	4	33	27	5216915	70222855	66133345	
afr-eng	Afrikaans	English	1374	8813	8101	1054	6720	6205	43952952	458369625	456739314	
afr-epo	Afrikaans	Esperanto	1123	7185	6173	1	5	3	115636	1184291	1043851	
afr-nld	Afrikaans	Dutch	1076	5831	5698				3814878	55640821	55111999	
afr-rus	Afrikaans	Russian	229	1139	941				1565824	26922595	21728639	
afr-spa	Afrikaans	Spanish	452	2571	2303				1789277	30728705	31299598	
ain-fin	Ainu (Japan)	Finnish	307	1515	1386						
ara-ber	Arabic	Berber languages	2498	11078	11927	1058	4733	5142	4	20	9	
ara-deu	Arabic	German	1209	5388	6880	1057	4689	6009	36446485	417434436	440733298	
ara-ell	Arabic	Modern Greek (1453-)	428	1367	1560				27300022	216748875	241187791	
ara-eng	Arabic	English	13290	64539	78341	19529	99143	123382	119177436	1750854241	1964410734	
ara-epo	Arabic	Esperanto	793	3219	4005	94	406	509	1486572	13515485	14857891	
ara-fra	Arabic	French	1569	6780	9641	125	596	860	75524167	1207983990	1573472895	
ara-heb	Arabic	Hebrew	1208	5301	5440	107	452	480	25176723	193318262	183638282	
ara-ita	Arabic	Italian	238	991	1252	11	33	49	36183892	379017681	436690932	
ara-jpn	Arabic	Japanese	1336	5945	1337	11	57	11	12047170	113779926	25679822	
ara-kab	Arabic	Kabyle	522	2394	2596				27728	212475	266279	
ara-pol	Arabic	Polish	208	854	929				35782511	324850612	305325109	
ara-rus	Arabic	Russian	3715	15750	17317	1304	5633	6188	54895295	855059357	857506631	
ara-spa	Arabic	Spanish	1511	6311	8031	1060	4479	5630	88211149	1192885239	1496391802	
ara-tur	Arabic	Turkish	1263	6038	5439	127	621	666	35974396	304119397	269200347	
asm-eng	Assamese	English	233	1157	1273	64	341	354	5054766	44465014	44502037	
avk-fra	Kotava	French	1244	6557	9181	43	187	262	5	49	192	
avk-spa	Kotava	Spanish	275	1145	1353						
awa-eng	Awadhi	English	279	1087	1042				2197709	25384555	19067484	
aze-eng	Azerbaijani	English	2659	10046	13295	1035	3930	5254	76463206	642111108	880452958	
aze-spa	Azerbaijani	Spanish	210	684	923	1	5	7	643204	6935867	8928451	
aze-tur	Azerbaijani	Turkish	1150	4253	4195	52	274	259	2547741	25879428	24595099	
bel-deu	Belarusian	German	555	2870	3461	1	3	3	1306107	22512761	15831117	
bel-eng	Belarusian	English	2500	12908	15535	4439	23246	27839	45986211	441101034	498903504	
bel-epo	Belarusian	Esperanto	744	4032	4559	15	58	69	214528	1054431	1153512	
bel-fra	Belarusian	French	283	1356	1743				677347	8450439	10489435	
bel-ita	Belarusian	Italian	264	1187	1375				971544	15368951	13057079	
bel-lat	Belarusian	Latin	222	956	901				33030	92459	113646	
bel-nld	Belarusian	Dutch	606	3194	4032				834026	12380390	11163581	
bel-pol	Belarusian	Polish	288	1377	1359				2933330	34020769	37081709	
bel-rus	Belarusian	Russian	2500	15122	15162	2832	17270	17324	22998266	277245748	285125111	
bel-spa	Belarusian	Spanish	205	982	1136				671862	8272898	10188661	
bel-ukr	Belarusian	Ukrainian	2355	12053	12024	1091	5318	5314	1811586	19794052	19896001	
bel-zho	Belarusian	Chinese	325	1480	329				366460	2461906	949892	
ben-eng	Bengali	English	2500	10942	11321	3063	14225	15462	78764429	669896165	713813703	
ber-deu	Berber languages	German	671	3320	3859				5	11	25	
ber-eng	Berber languages	English	26088	144176	155233	108422	590231	673066	32	204	247	
ber-epo	Berber languages	Esperanto	1576	7992	9364	23	106	111	5	11	22	
ber-fra	Berber languages	French	14666	63825	88078	34705	140107	190877	1	2	3	
ber-spa	Berber languages	Spanish	10339	54271	58829	14044	73889	78952	5	11	29	
bre-eng	Breton	English	385	1880	1657				728400	9041809	6312714	
bre-fra	Breton	French	2494	11924	11290	3065	15214	14293	210429	1787438	1774785	
bua-rus	Buriat	Russian	806	2807	2893				1024	8858	10900	
bul-bul	Bulgarian	Bulgarian	219	1078	1101				500820	3423840	3434443	
bul-deu	Bulgarian	German	317	1639	1827				47383235	617102672	615370548	
bul-eng	Bulgarian	English	10000	56740	60705	7835	44204	47335	113270896	1453244814	1528332996	
bul-epo	Bulgarian	Esperanto	588	3325	3417	1	8	6	1436274	15159296	15206768	
bul-fra	Bulgarian	French	451	2724	3243				43704625	475998935	536869706	
bul-ita	Bulgarian	Italian	2500	13344	14074	4006	21635	22681	43149114	548361970	584782283	
bul-jpn	Bulgarian	Japanese	322	1955	325	2	10	2	8599663	84257976	15833135	
bul-rus	Bulgarian	Russian	1247	6556	6155	1001	5184	4806	44461448	458102211	419678955	
bul-spa	Bulgarian	Spanish	286	1359	1460				50263683	518602296	580362453	
bul-tur	Bulgarian	Turkish	860	5392	4093	1	5	5	32510816	243798696	207065106	
bul-ukr	Bulgarian	Ukrainian	1021	4050	3779				12562842	145493528	129551987	
bul-zho	Bulgarian	Chinese	416	2548	423				15635549	127279166	26937252	
cat-deu	Catalan	German	724	4681	4717	2	9	10	2173303	29926950	26384821	
cat-eng	Catalan	English	1631	10387	10625	257	2261	2206	29231872	433379288	408897654	
cat-epo	Catalan	Esperanto	774	4881	4656	7	46	41	1173672	13407172	12099706	
cat-fra	Catalan	French	701	4525	4939	2	9	12	25468272	290174294	297985692	
cat-ita	Catalan	Italian	298	1773	1692				12737704	150807808	144349376	
cat-nld	Catalan	Dutch	579	3285	3492	2	9	10	1954790	24526102	22794997	
cat-por	Catalan	Portuguese	747	5249	5201	3	13	17	14710350	174442671	168147508	
cat-spa	Catalan	Spanish	1534	10548	10282	1320	9382	9155	122927301	2376689372	2400372891	
cat-ukr	Catalan	Ukrainian	459	2163	1898				2202310	26718231	21706944	
cbk-eng	Chavacano	English	1498	8879	8303	1026	6048	5751	16	292	252	
ceb-deu	Cebuano	German	903	5324	6145				1236155	19182644	17657851	
ceb-eng	Cebuano	English	424	2001	2199				12929308	153738267	142976044	
ces-deu	Czech	German	3490	18205	22412	1260	6721	8324	80012943	951502023	1038069544	
ces-eng	Czech	English	18434	98532	120647	16189	85061	104351	208877037	2344256666	2655745390	
ces-epo	Czech	Esperanto	3471	17560	20418	1098	5401	6307	2097387	18530613	20613057	
ces-fra	Czech	French	450	2194	2970	5	15	19	80295146	832203407	1029341645	
ces-hun	Czech	Hungarian	1911	8244	7922	192	786	764	60141550	613386603	592084259	
ces-ita	Czech	Italian	1100	5601	6629	1	3	5	54375409	564293823	657560146	
ces-lat	Czech	Latin	326	1452	1362	1	3	4	93041	848681	784915	
ces-pol	Czech	Polish	570	2703	2731	3	11	13	82081646	797442610	792097249	
ces-rus	Czech	Russian	3535	16087	17187	5466	24606	26200	46847691	388382811	391248251	
ces-slv	Czech	Slovenian	512	2001	2051	17	69	72	35171034	406174031	409828101	
ces-spa	Czech	Spanish	1807	8931	10620	219	991	1168	90047439	909814268	1110556528	
ces-ukr	Czech	Ukrainian	1787	6527	6842	1196	4532	4770	9724513	111380749	110080800	
cha-eng	Chamorro	English	227	774	898				12958	240438	265296	
chm-rus	Mari (Russia)	Russian	2750	15104	16269	1000	5305	5720	3699	14220	14552	
chv-eng	Chuvash	English	345	1404	1935				274040	3603674	4672163	
chv-rus	Chuvash	Russian	394	1603	1848				1046354	11505591	11516239	
chv-tur	Chuvash	Turkish	525	2129	2101				77766	952316	928648	
cor-deu	Cornish	German	821	3855	3732				896	4334	4216	
cor-eng	Cornish	English	3198	14464	13500	1000	4601	4272	2434	23873	43357	
cor-epo	Cornish	Esperanto	663	3026	2877				1062	4641	4401	
cor-fra	Cornish	French	555	2560	2614				1064	5493	6293	
cor-ita	Cornish	Italian	287	1211	1079				1121	5564	5833	
cor-rus	Cornish	Russian	218	959	820				1304	5870	5331	
cor-spa	Cornish	Spanish	206	944	847				1155	5662	6190	
crh-tur	Crimean Tatar	Turkish	208	824	794				9111	47776	47016	
cym-eng	Welsh	English	1007	6279	5788	19	122	115	19178710	246843577	241049507	
dan-dan	Danish	Danish	576	3756	3811				258115	1852507	1855967	
dan-deu	Danish	German	9998	62514	63040	7750	49465	49891	85418280	1337028329	1337704241	
dan-eng	Danish	English	12678	79295	79827	20089	123471	124078	164950651	2366538235	2492520999	
dan-epo	Danish	Esperanto	13144	79397	75422	19236	117228	111170	1573951	15401229	15224020	
