		0.75495				
dan-fao	flores200-dev	0.29734	5.5	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23543
dan-fao	flores200-devtest	0.50705	5.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24539
dan-isl	flores101-dev	0.417	14.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	21857
dan-isl	flores101-devtest	0.41906	13.8	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	22834
dan-isl	flores200-dev	0.41609	14.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	21857
dan-isl	flores200-devtest	0.29251	13.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	22834
dan-nno	flores200-dev	0.51109	21.6	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23520
dan-nno	flores200-devtest	0.41882	21.9	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24316
dan-nob	flores101-dev	0.51753	22.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23157
dan-nob	flores101-devtest	0.513	21.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23873
dan-nob	flores200-dev	0.51709	22.3	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23157
dan-nob	flores200-devtest	0.51756	21.5	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23873
dan-nob	tatoeba-test-v2020-07-28	0.770	63.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1299	9620
dan-nob	tatoeba-test-v2021-03-30	0.770	63.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1299	9620
dan-nob	tatoeba-test-v2021-08-07	0.7541	63.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1299	9620
dan-swe	flores101-dev	0.61191	33.8	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	22417
dan-swe	flores101-devtest	0.61032	33.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23121
dan-swe	flores200-dev	0.61154	33.8	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	22417
dan-swe	flores200-devtest	0.51426	33.0	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23121
dan-swe	tatoeba-test-v2020-07-28	0.51339	67.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1550	10082
dan-swe	tatoeba-test-v2021-03-30	0.7581	67.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1550	10082
dan-swe	tatoeba-test-v2021-08-07	0.77043	67.3	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1549	10060
fao-dan	flores200-dev	0.36274	11.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23685
fao-dan	flores200-devtest	0.61016	11.0	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24638
fao-isl	flores200-dev	0.30283	6.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	21857
fao-isl	flores200-devtest	0.35841	6.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	22834
fao-nno	flores200-devtest	0.29852	8.3	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24316
fao-nob	flores200-dev	0.33523	7.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23157
fao-nob	flores200-devtest	0.33327	7.3	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23873
fao-swe	flores200-dev	0.3244	10.5	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	22417
fao-swe	flores200-devtest	0.32239	9.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23121
isl-dan	flores101-dev	0.45958	18.9	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23685
isl-dan	flores101-devtest	0.45986	19.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24638
isl-dan	flores200-dev	0.3548	18.9	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23685
isl-dan	flores200-devtest	0.34993	19.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24638
isl-fao	flores200-dev	0.45943	4.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23543
isl-fao	flores200-devtest	0.45983	4.3	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24539
isl-nno	flores200-dev	0.27077	12.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23520
isl-nno	flores200-devtest	0.26624	12.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24316
isl-nob	flores101-dev	0.39894	12.6	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23157
isl-nob	flores101-devtest	0.39082	12.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23873
isl-nob	flores200-dev	0.39103	12.5	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23157
isl-nob	flores200-devtest	0.39246	12.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23873
isl-swe	europeana2021	0.38214	15.5	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	563	10293
isl-swe	flores101-dev	0.45873	18.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	22417
isl-swe	flores101-devtest	0.45871	18.6	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23121
isl-swe	flores200-dev	0.39801	18.6	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	22417
isl-swe	flores200-devtest	0.39167	18.6	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23121
nno-dan	flores200-dev	0.45946	28.6	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23685
nno-dan	flores200-devtest	0.45888	28.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24638
nno-fao	flores200-dev	0.56486	5.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23543
nno-fao	flores200-devtest	0.56632	5.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24539
nno-isl	flores200-dev	0.28814	12.9	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	21857
nno-isl	flores200-devtest	0.28602	13.0	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	22834
nno-nob	flores200-dev	0.39962	20.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23157
nno-nob	flores200-devtest	0.39827	20.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23873
nno-nob	tatoeba-test-v2020-07-28	0.759	60.0	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	474	3167
nno-nob	tatoeba-test-v2021-03-30	0.754	59.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	488	3304
nno-nob	tatoeba-test-v2021-08-07	0.758	59.9	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	466	3124
nno-swe	flores200-dev	0.49604	26.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	22417
nno-swe	flores200-devtest	0.49998	26.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23121
nob-dan	flores101-dev	0.55502	27.0	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23685
nob-dan	flores101-devtest	0.550	25.9	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24638
nob-dan	flores200-dev	0.54607	27.0	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23685
nob-dan	flores200-devtest	0.54879	25.9	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24638
nob-dan	tatoeba-test-v2020-07-28	0.795	65.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1299	9794
nob-dan	tatoeba-test-v2021-03-30	0.795	65.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1299	9794
nob-dan	tatoeba-test-v2021-08-07	0.75762	65.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1299	9794
nob-fao	flores200-dev	0.5555	4.9	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23543
nob-fao	flores200-devtest	0.55018	4.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24539
nob-isl	europeana2021	0.43364	17.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	538	9932
nob-isl	flores101-dev	0.39708	12.5	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	21857
nob-isl	flores101-devtest	0.39486	12.5	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	22834
nob-isl	flores200-dev	0.28376	12.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	21857
nob-isl	flores200-devtest	0.28062	12.6	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	22834
nob-nno	flores200-dev	0.39692	18.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23520
nob-nno	flores200-devtest	0.39555	18.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24316
nob-nno	tatoeba-test-v2020-07-28	0.679	43.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	474	3184
nob-nno	tatoeba-test-v2021-03-30	0.680	43.0	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	488	3321
nob-nno	tatoeba-test-v2021-08-07	0.679	43.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	466	3141
nob-swe	europeana2021	0.62187	37.3	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	538	9885
nob-swe	flores101-dev	0.543	24.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	22417
nob-swe	flores101-devtest	0.53891	24.3	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23121
nob-swe	flores200-dev	0.48841	24.8	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	22417
nob-swe	flores200-devtest	0.48771	24.5	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23121
nob-swe	tatoeba-test-v2020-07-28	0.67928	66.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	560	3661
nob-swe	tatoeba-test-v2021-03-30	0.67968	65.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	570	3756
nob-swe	tatoeba-test-v2021-08-07	0.67872	66.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	563	3698
swe-dan	flores101-dev	0.6062	33.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23685
swe-dan	flores101-devtest	0.60756	33.9	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24638
swe-dan	flores200-dev	0.54343	33.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23685
swe-dan	flores200-devtest	0.53933	33.8	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24638
swe-dan	tatoeba-test-v2020-07-28	0.78877	67.8	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1550	10261
swe-dan	tatoeba-test-v2021-03-30	0.78017	67.8	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1550	10261
swe-dan	tatoeba-test-v2021-08-07	0.78458	67.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1549	10239
swe-fao	flores200-dev	0.60627	5.0	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23543
swe-fao	flores200-devtest	0.6077	4.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24539
swe-isl	europeana2021	0.43074	15.6	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	546	10611
swe-isl	flores101-dev	0.41786	14.3	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	21857
swe-isl	flores101-devtest	0.41576	14.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	22834
swe-isl	flores200-dev	0.29242	14.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	21857
swe-isl	flores200-devtest	0.28723	14.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	22834
swe-nno	flores200-dev	0.41832	20.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23520
swe-nno	flores200-devtest	0.41511	20.8	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	24316
swe-nob	europeana2021	0.60181	33.6	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	546	10818
swe-nob	flores101-dev	0.50705	21.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23157
swe-nob	flores101-devtest	0.51359	21.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23873
swe-nob	flores200-dev	0.50092	21.2	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	997	23157
swe-nob	flores200-devtest	0.50628	21.4	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	1012	23873
swe-nob	tatoeba-test-v2020-07-28	0.758	61.1	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	560	3672
swe-nob	tatoeba-test-v2021-03-30	0.754	60.6	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	570	3765
swe-nob	tatoeba-test-v2021-08-07	0.755	60.7	https://object.pouta.csc.fi/Tatoeba-MT-models/gmq-gmq/opus-2020-07-27.zip	563	3708
