					0	
eng-acm	flores200-dev	0.00804	0.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	19694
eng-acm	flores200-devtest	0.00772	0.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	20497
eng-acq	flores200-dev	0.00788	0.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	20092
eng-acq	flores200-devtest	0.00759	0.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	20945
eng-aeb	flores200-dev	0.00798	0.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	19757
eng-aeb	flores200-devtest	0.00778	0.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	20498
eng-ajp	flores200-dev	0.01385	0.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	19523
eng-ajp	flores200-devtest	0.0133	0.7	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	20450
eng-amh	flores101-dev	0.008	0.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	17384
eng-amh	flores101-devtest	0.006	0.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	17752
eng-amh	flores200-dev	0.00922	0.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	17384
eng-amh	flores200-devtest	0.00635	0.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	17752
eng-amh	tatoeba-test-v2021-03-30	0.000	0.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	202	615
eng-amh	tico19-test	0.034	0.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	2100	44782
eng-apc	flores200-dev	0.01257	0.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	18746
eng-apc	flores200-devtest	0.01123	0.7	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	19476
eng-ara	flores101-dev	0.540	22.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	20512
eng-ara	flores101-devtest	0.54415	21.7	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	21357
eng-ara	flores200-dev	0.54238	22.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	20489
eng-ara	flores200-devtest	0.54643	21.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	21352
eng-ara	tatoeba-test-v2020-07-28	0.426	14.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	10000	58935
eng-ara	tatoeba-test-v2021-03-30	0.426	14.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	10267	61124
eng-ara	tatoeba-test-v2021-08-07	0.426	14.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	10305	61356
eng-ara	tico19-test	0.535	22.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	2100	51339
eng-arq	tatoeba-test-v2020-07-28	0.006	0.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	403	2272
eng-arq	tatoeba-test-v2021-03-30	0.006	0.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	405	2285
eng-arq	tatoeba-test-v2021-08-07	0.006	0.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	405	2285
eng-ars	flores200-dev	0.00637	0.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	20517
