					0	
eng-ast	flores101-dev	0.515	19.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	23232
eng-ast	flores101-devtest	0.517	19.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	24572
eng-ast	flores200-dev	0.51534	19.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	23232
eng-ast	flores200-devtest	0.51756	19.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	24572
eng-cat	flores101-dev	0.61203	34.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	25962
eng-cat	flores101-devtest	0.61602	35.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	27304
eng-cat	flores200-dev	0.61203	34.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	25962
eng-cat	flores200-devtest	0.61602	35.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	27304
eng-cat	tatoeba-test-v2020-07-28	0.669	47.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1631	12344
eng-cat	tatoeba-test-v2021-03-30	0.669	47.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1631	12344
eng-cat	tatoeba-test-v2021-08-07	0.66931	47.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1631	12344
eng-fra	flores101-dev	0.653	40.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	26706
eng-fra	flores101-devtest	0.65225	40.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	28343
eng-fra	flores200-dev	0.65359	40.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	26706
eng-fra	flores200-devtest	0.65225	40.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	28343
eng-fra	multi30k_test_2016_flickr	0.63837	39.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1000	13505
eng-fra	multi30k_test_2017_flickr	0.64349	39.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1000	12118
eng-fra	multi30k_test_2017_mscoco	0.66467	43.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	461	5484
eng-fra	multi30k_test_2018_flickr	0.59745	33.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1071	15867
eng-fra	newsdiscussdev2015	0.56719	28.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1500	27940
eng-fra	newsdiscusstest2015	0.60173	33.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1500	27975
eng-fra	newssyscomb2009	0.5682	27.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	502	12331
eng-fra	news-test2008	0.536	24.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	2051	52685
eng-fra	newstest2009	0.55665	26.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	2525	69263
eng-fra	newstest2010	0.56701	28.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	2489	66022
